state,2011,2012,2013,2014,2015,2016,2017,y_o_y_2012,y_o_y_2013,y_o_y_2014,y_o_y_2015,y_o_y_2016,y_o_y_2017
AE,1630468,1759926,1731632,1756421,2110129,1671677,1371104,0.079,-0.016,0.014,0.201,-0.208,-0.180
AK,3766410665,4055400606,4234590336,4319477237,4289134577,4861768808,5101665791,0.077,0.044,0.020,-0.007,0.134,0.049
AL,9661629991,10681329846,8866178826,11875395679,8785604529,11887258134,13742026050,0.106,-0.170,0.339,-0.260,0.353,0.156
AP,177469,NA,157311,350335,NA,284006,203423,NA,NA,1.227,NA,NA,-0.284
AR,12179947890,12840347654,13063635293,14293677443,6854132947,15521536208,15539371135,0.054,0.017,0.094,-0.520,1.265,0.001
AS,NA,NA,NA,NA,NA,NA,399716,NA,NA,NA,NA,NA,NA
AZ,16905911459,18481022940,14966917594,22184078090,12261223169,21805886592,24344022561,0.093,-0.190,0.482,-0.447,0.778,0.116
CA,1.90996E+11,2.1432E+11,2.1391E+11,2.44023E+11,1.24091E+11,2.81907E+11,3.1045E+11,0.122,-0.002,0.141,-0.491,1.272,0.101
CO,19611807811,22412420582,20129389660,25350204542,18754951638,28503597401,31598699666,0.143,-0.102,0.259,-0.260,0.520,0.109
CT,23625685272,27722323253,28679697857,31329923481,28640762443,37445597522,38653861197,0.173,0.035,0.092,-0.086,0.307,0.032
DC,42898592566,37690054362,35672751948,44285902841,32035514201,45407383684,49752512448,-0.121,-0.054,0.241,-0.277,0.417,0.096
DE,4772847016,4889622262,5134992144,5484424786,5159409917,6475280371,6338925349,0.024,0.050,0.068,-0.059,0.255,-0.021
FL,58510440736,65966360184,57002689139,72401974849,52949660155,76565846907,85160045764,0.127,-0.136,0.270,-0.269,0.446,0.112
GA,33660211193,39008099742,39298789756,46589737053,36711313460,49643676247,56255188780,0.159,0.007,0.186,-0.212,0.352,0.133
GU,NA,NA,NA,9541416,NA,10000876,11195753,NA,NA,NA,NA,NA,0.119
HI,5138623770,5792205782,5475449013,6756613693,5834889602,7582760456,6646978651,0.127,-0.055,0.234,-0.136,0.300,-0.123
IA,14361941612,14649213068,15886327367,17325741536,9979269714,17839155686,19571892353,0.020,0.084,0.091,-0.424,0.788,0.097
ID,2104658699,3151628086,3456455558,3983679674,3786364526,4634787420,5852815229,0.497,0.097,0.153,-0.050,0.224,0.263
IL,67007739777,75687040177,68007592145,88114787428,60130003662,96379066783,99931995734,0.130,-0.101,0.296,-0.318,0.603,0.037
IN,28596106141,32464167935,28914196580,36444627822,23445905508,37912295126,42551052668,0.135,-0.109,0.260,-0.357,0.617,0.122
KS,9968501740,11303821783,10308916634,10721721459,8868034333,12157447133,12848478495,0.134,-0.088,0.040,-0.173,0.371,0.057
KY,18573793131,19706209440,16123064616,22142229049,17530981727,22075761543,24142779338,0.061,-0.182,0.373,-0.208,0.259,0.094
LA,14501495469,10494134873,15856949541,19034286307,9291938261,21163957205,23458580843,-0.276,0.511,0.200,-0.512,1.278,0.108
MA,69195039409,85008157489,83871171811,93696591849,81535740204,96477575404,1.05493E+11,0.229,-0.013,0.117,-0.130,0.183,0.093
MD,33607752530,38308203698,36764448457,43526574530,43347227678,48184696492,50352888161,0.140,-0.040,0.184,-0.004,0.112,0.045
ME,8433284077,8668696038,9507409769,10473429729,9570617238,11837003470,13327538555,0.028,0.097,0.102,-0.086,0.237,0.126
MI,1.0908E+11,58286884423,57263684762,66628886321,37788844340,75300639796,73294713801,-0.466,-0.018,0.164,-0.433,0.993,-0.027
MN,48088370106,56716665486,54948327284,65097310467,25851082676,61302887900,70369546372,0.179,-0.031,0.185,-0.603,1.371,0.148
MO,35177961115,39668458988,28640611951,43522080514,26595123905,48623566024,52239980421,0.128,-0.278,0.520,-0.389,0.828,0.074
MS,7326328842,7313434100,7732358976,8294990224,6681396903,7801089666,8295437335,-0.002,0.057,0.073,-0.195,0.168,0.063
MT,4510299537,5159420515,5214276949,6196063799,3899221508,6612447382,7374663146,0.144,0.011,0.188,-0.371,0.696,0.115
NC,33208624273,36512016941,37453930139,42279971521,35267768464,45745747608,50172690089,0.099,0.026,0.129,-0.166,0.297,0.097
ND,3643007164,6593890476,6861734193,7710087283,7139071116,8638689287,9183413994,0.810,0.041,0.124,-0.074,0.210,0.063
NE,9762414134,10542696084,9630460501,12335229050,9122457396,11288095267,13919851755,0.080,-0.087,0.281,-0.260,0.237,0.233
NH,8005080918,9084392722,7409429448,10051089439,8409502109,11196626153,11323103045,0.135,-0.184,0.357,-0.163,0.331,0.011
NJ,34998443231,24708470569,38709833465,41738372349,16519833536,47166467452,50214763235,-0.294,0.567,0.078,-0.604,1.855,0.065
NM,4458861429,4704788268,4598490496,5297719305,2540669250,5524623113,6142572895,0.055,-0.023,0.152,-0.520,1.174,0.112
NV,3002956392,3151293000,4292905293,3914117285,2736353013,4134996194,4618573327,0.049,0.362,-0.088,-0.301,0.511,0.117
NY,1.70022E+11,1.50386E+11,1.84414E+11,2.10983E+11,1.10887E+11,2.25348E+11,2.40479E+11,-0.115,0.226,0.144,-0.474,1.032,0.067
OH,69190725075,76257605413,73184923070,86990786318,38652718583,89947942912,98110405343,0.102,-0.040,0.189,-0.556,1.327,0.091
OK,6949092792,7251858295,7637166841,8113086713,9456624561,12109903496,12936537800,0.044,0.053,0.062,0.166,0.281,0.068
OR,15393118707,15329108679,14336276307,17555170436,12032025450,20443830186,22655999205,-0.004,-0.065,0.225,-0.315,0.699,0.108
PA,89987538154,1.01113E+11,99611609306,1.11048E+11,98796654779,1.23024E+11,1.2821E+11,0.124,-0.015,0.115,-0.110,0.245,0.042
PR,1209584489,979271524,1316357261,1338295072,1273631716,1432382590,1412745266,-0.190,0.344,0.017,-0.048,0.125,-0.014
RI,8069827157,9363216892,9480862323,10500982095,9527352625,11021138816,11492666759,0.160,0.013,0.108,-0.093,0.157,0.043
SC,11292652443,12142449281,12191950934,14220217623,10880519084,14712290643,15793786916,0.075,0.004,0.166,-0.235,0.352,0.074
SD,5523652873,5139198386,4749577546,5491298627,3962730485,5773954337,6831220185,-0.070,-0.076,0.156,-0.278,0.457,0.183
TN,23852691871,25651556304,25642088135,28231933745,21632551799,26332788687,32224921885,0.075,0.000,0.101,-0.234,0.217,0.224
TX,64736283279,74029307305,70143061929,85558123042,56908328931,92337056951,1.02643E+11,0.144,-0.052,0.220,-0.335,0.623,0.112
UT,3562342646,7800518892,8175444053,9620869811,2288679654,10988608084,12058707961,1.190,0.048,0.177,-0.762,3.801,0.097
VA,38320730563,42905419641,41860040160,50986934745,31255783096,55592588140,58864796600,0.120,-0.024,0.218,-0.387,0.779,0.059
VI,7883221,9544713,9270279,90938046,86511047,26639007,107257828,0.211,-0.029,8.810,-0.049,-0.692,3.026
VT,4101010414,4597303586,4702219002,5566015489,5119134698,5998825777,6489004982,0.121,0.023,0.184,-0.080,0.172,0.082
WA,37093470090,41389542105,29287175160,47383832034,25952564592,50479247014,56222731133,0.116,-0.292,0.618,-0.452,0.945,0.114
WI,32968581182,39945775486,39087620201,41189654452,26388184797,44591669170,46587035793,0.212,-0.021,0.054,-0.359,0.690,0.045
WV,6518357118,7201964321,7342487731,7941640008,4399758797,8405172142,9254626672,0.105,0.020,0.082,-0.446,0.910,0.101
WY,1123865683,1255971345,1404554354,1625402114,1270261090,1506312078,1758390306,0.118,0.118,0.157,-0.218,0.186,0.167
